outcome,label,seed,run_id,source_jid,step,target_step,N,D,L,n_tickers,source,D_B
heldout_ce,23M,5,23M-s5,4508846,71350,93989,22949247,118726400000,0.5710679550312873,487,test_ce_sp500_jan2026,118.7264
heldout_ce,23M,5,23M-s5,4508846,74410,93989,22949247,123818240000,0.5703463430766942,487,test_ce_sp500_jan2026,123.81824
heldout_ce,23M,5,23M-s5,4508846,77480,93989,22949247,128926720000,0.5696599545297681,487,test_ce_sp500_jan2026,128.92672
heldout_ce,23M,5,23M-s5,4508846,80560,93989,22949247,134051840000,0.5690329336165403,487,test_ce_sp500_jan2026,134.05184
heldout_ce,23M,5,23M-s5,4508846,83630,93989,22949247,139160320000,0.5685516464269627,487,test_ce_sp500_jan2026,139.16032
heldout_ce,23M,5,23M-s5,4508846,86630,93989,22949247,144152320000,0.5681458665727345,487,test_ce_sp500_jan2026,144.15232
heldout_ce,23M,5,23M-s5,4508846,89690,93989,22949247,149244160000,0.5678419867947361,487,test_ce_sp500_jan2026,149.24416
heldout_ce,23M,5,23M-s5,4508846,92740,93989,22949247,154319360000,0.5677075150443788,487,test_ce_sp500_jan2026,154.31936
heldout_ce,23M,5,23M-s5,4508846,93990,93989,22949247,156399360000,0.5675970128062324,487,test_ce_sp500_jan2026,156.39936
heldout_ce,23M,137,23M-s137,4508675,740,93989,22949247,1231360000,1.130615910098293,487,test_ce_sp500_jan2026,1.23136
heldout_ce,23M,137,23M-s137,4508675,3800,93989,22949247,6323200000,0.6681388972109104,487,test_ce_sp500_jan2026,6.3232
heldout_ce,23M,137,23M-s137,4508675,6860,93989,22949247,11415040000,0.6301944842083987,487,test_ce_sp500_jan2026,11.41504
heldout_ce,23M,137,23M-s137,4508675,9940,93989,22949247,16540160000,0.6171174434910565,487,test_ce_sp500_jan2026,16.54016
heldout_ce,23M,137,23M-s137,4508675,19090,93989,22949247,31765760000,0.6007327182214608,487,test_ce_sp500_jan2026,31.76576
heldout_ce,23M,137,23M-s137,4508675,31240,93989,22949247,51983360000,0.5885464780996468,487,test_ce_sp500_jan2026,51.98336
heldout_ce,23M,137,23M-s137,4508675,55530,93989,22949247,92401920000,0.5756644172712518,487,test_ce_sp500_jan2026,92.40192
heldout_ce,23M,137,23M-s137,4508675,93990,93989,22949247,156399360000,0.5668705403192822,487,test_ce_sp500_jan2026,156.39936
heldout_ce,46M,5,46M-s5,4508676,250,63407,46429199,416000000,2.4877668430673023,487,test_ce_sp500_jan2026,0.416
heldout_ce,46M,5,46M-s5,4508676,2240,63407,46429199,3727360000,0.6946003034374307,487,test_ce_sp500_jan2026,3.72736
heldout_ce,46M,5,46M-s5,4508676,4220,63407,46429199,7022080000,0.6429714102764639,487,test_ce_sp500_jan2026,7.02208
heldout_ce,46M,5,46M-s5,4508676,8180,63407,46429199,13611520000,0.6161001023570615,487,test_ce_sp500_jan2026,13.61152
heldout_ce,46M,5,46M-s5,4508676,16010,63407,46429199,26640640000,0.5975985218000118,487,test_ce_sp500_jan2026,26.64064
heldout_ce,46M,5,46M-s5,4508676,29700,63407,46429199,49420800000,0.5821755626975144,487,test_ce_sp500_jan2026,49.4208
heldout_ce,46M,5,46M-s5,4508676,53970,63407,46429199,89806080000,0.5694092610043912,487,test_ce_sp500_jan2026,89.80608
heldout_ce,46M,42,46M-s42,4508677,320,63407,46429199,532480000,2.061191214917866,487,gap_fill_pred4508677,0.53248
heldout_ce,46M,42,46M-s42,4508677,2340,63407,46429199,3893760000,0.6978794668611804,487,gap_fill_pred4508677,3.89376
heldout_ce,46M,42,46M-s42,4508677,6390,63407,46429199,10632960000,0.6288904408165072,487,gap_fill_pred4508677,10.63296
heldout_ce,46M,42,46M-s42,4508677,12480,63407,46429199,20766720000,0.6106141041314088,487,gap_fill_pred4508677,20.76672
heldout_ce,46M,42,46M-s42,4514385,48620,63407,46429199,80903680000,0.5739670319968425,487,test_ce_sp500_jan2026,80.90368
heldout_ce,46M,42,46M-s42,4514385,49140,63407,46429199,81768960000,0.5738580204867729,487,test_ce_sp500_jan2026,81.76896
heldout_ce,46M,42,46M-s42,4514385,51140,63407,46429199,85096960000,0.5732477938247658,487,test_ce_sp500_jan2026,85.09696
heldout_ce,46M,42,46M-s42,4514385,53150,63407,46429199,88441600000,0.5724748401793611,487,test_ce_sp500_jan2026,88.4416
heldout_ce,46M,42,46M-s42,4514385,55160,63407,46429199,91786240000,0.5718820186855856,487,test_ce_sp500_jan2026,91.78624
heldout_ce,46M,42,46M-s42,4514385,57160,63407,46429199,95114240000,0.571521787795198,487,test_ce_sp500_jan2026,95.11424
heldout_ce,46M,42,46M-s42,4514385,59170,63407,46429199,98458880000,0.5711342052879764,487,test_ce_sp500_jan2026,98.45888
heldout_ce,46M,42,46M-s42,4514385,61170,63407,46429199,101786880000,0.5708706908279866,487,test_ce_sp500_jan2026,101.78688
heldout_ce,46M,42,46M-s42,4514385,63180,63407,46429199,105131520000,0.5706282934858569,487,test_ce_sp500_jan2026,105.13152
heldout_ce,46M,42,46M-s42,4514385,63410,63407,46429199,105514240000,0.5706516315192902,487,test_ce_sp500_jan2026,105.51424
heldout_ce,46M,137,46M-s137,4514395,55280,63407,46429199,91985920000,0.57459276076215,487,test_ce_sp500_jan2026,91.98592
heldout_ce,46M,137,46M-s137,4514395,55810,63407,46429199,92867840000,0.5744504683193974,487,test_ce_sp500_jan2026,92.86784
heldout_ce,46M,137,46M-s137,4514395,57820,63407,46429199,96212480000,0.5739705213163913,487,test_ce_sp500_jan2026,96.21248
